District Name,State,Year Lifted,Year Placed,Order Type,Region
Franklin City Pblc Schs,VA,2008,Unknown year,Involuntary,Southeast
Franklin Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Franklin County,AL,STILL OPEN,1963,Involuntary,Southeast
Franklin County,TN,STILL OPEN,1964,Involuntary,Southeast
Franklin County Schools,NC,STILL OPEN,1966,Involuntary,Southeast
Franklin Parish,LA,2013,Unknown year,Involuntary,Southeast
Franklin Township Com Sch Corp,IN,1998,Unknown year,Involuntary,Midwest
Fulton County,GA,2003,Unknown year,Involuntary,Southeast
Gadsden,FL,STILL OPEN,1970,Involuntary,Southeast
Gadsden City,AL,2005,Unknown year,Involuntary,Southeast
Galena Park Isd,TX,2007,Unknown year,Involuntary,Southwest
Galveston Isd,TX,2009,Unknown year,Involuntary,Southwest
Garland Isd,TX,STILL OPEN,Unknown year,Involuntary,Southwest
Geneva City,AL,1974,Unknown year,Involuntary,Southeast
Geneva County,AL,2002,Unknown year,Involuntary,Southeast
Georgetown 01,SC,STILL OPEN,1969,Involuntary,Southeast
Georgetown Isd,TX,STILL OPEN,1964,Involuntary,Southwest
Gibson Co Sp Dist,TN,2008,Unknown year,Involuntary,Southeast
Glascock County,GA,STILL OPEN,1969,Involuntary,Southeast
Glynn County,GA,STILL OPEN,1963,Involuntary,Southeast
Goldsboro City*,NC,1979,Unknown year,Involuntary,Southeast
Goodrich Isd,TX,STILL OPEN,1970,Involuntary,Southwest
Grady County,GA,2007,Unknown year,Involuntary,Southeast
Grandview C-4,MO,2005,Unknown year,Involuntary,Midwest
Grant Parish,LA,2007,Unknown year,Involuntary,Southeast
Grapeland Isd,TX,STILL OPEN,1976,Involuntary,Southwest
Greene County,AL,2003,Unknown year,Involuntary,Southeast
Greenfield-Central Com Schools,IN,1998,Unknown year,Involuntary,Midwest
Greensville Co Pblc Schs,VA,2002,Unknown year,Involuntary,Southeast
Greenville 01,SC,1985,Unknown year,Involuntary,Southeast
Greenville Public Schools,MS,1994,Unknown year,Involuntary,Southeast
Greenwood Community Sch Corp,IN,1998,Unknown year,Involuntary,Midwest
Greenwood Public School District,MS,STILL OPEN,1969,Involuntary,Southeast
Gregory-Portland Isd,TX,1981,Unknown year,Involuntary,Southwest
Grenada School Dist,MS,1985,Unknown year,Involuntary,Southeast
Guilford County Schools,NC,1972,Unknown year,Involuntary,Southeast
Gulf,FL,2009,Unknown year,Involuntary,Southeast
Guntersville City,AL,2011,Unknown year,Involuntary,Southeast
Hale County,AL,1982,Unknown year,Involuntary,Southeast
Halifax Co Pblc Schs,VA,1970,Unknown year,Involuntary,Southeast
Halifax County Schools,NC,STILL OPEN,1964,Involuntary,Southeast
Hamilton County,TN,1986,Unknown year,Involuntary,Southeast
Hampton 01,SC,2004,Unknown year,Involuntary,Southeast
Hampton 02,SC,2005,Unknown year,Involuntary,Southeast
Hancock County,GA,2007,Unknown year,Involuntary,Southeast
Hancock Place,MO,1999,Unknown year,Involuntary,Midwest
Hanover Co Pblc Schs,VA,STILL OPEN,1966,Involuntary,Southeast
Hardeman County,TN,STILL OPEN,1969,Involuntary,Southeast
Harnett County Schools,NC,STILL OPEN,1965,Involuntary,Southeast
Harnett Early Childhood*,NC,STILL OPEN,1965,Involuntary,Southeast
Harris County,GA,2009,Unknown year,Involuntary,Southeast
Harrison Co School Dist,MS,2003,Unknown year,Involuntary,Southeast
Hart County,GA,2008,Unknown year,Involuntary,Southeast
Hattiesburg Public School Dist,MS,1997,Unknown year,Involuntary,Southeast
Haywood County,TN,STILL OPEN,1967,Involuntary,Southeast
Hazelwood,MO,STILL OPEN,1975,Involuntary,Midwest
Hazen School District,AR,2003,Unknown year,Involuntary,Southeast
Hazlehurst City School District,MS,2005,Unknown year,Involuntary,Southeast
Hearne Isd,TX,2007,Unknown year,Involuntary,Southwest
Helena/ W.Helena School Dist.,AR,2002,Unknown year,Involuntary,Southeast
Henderson Isd,TX,2010,Unknown year,Involuntary,Southwest
Hendry,FL,STILL OPEN,1970,Involuntary,Southeast
Henrico Co Pblc Schs,VA,1972,Unknown year,Involuntary,Southeast
Henry County,AL,2006,Unknown year,Involuntary,Southeast
Hermitage School District,AR,STILL OPEN,1969,Involuntary,Southeast
Hickman Mills C-1,MO,2003,Unknown year,Involuntary,Midwest
Hillsborough,FL,2001,Unknown year,Involuntary,Southeast
Hinds Co School Dist,MS,1984,Unknown year,Involuntary,Southeast
Hollandale School Dist,MS,STILL OPEN,1971,Involuntary,Southeast
Holly Grove*,NO,2003,Unknown year,Involuntary,
Holly Springs School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Holmes Co School Dist,MS,STILL OPEN,1965,Involuntary,Southeast
Holyoke,MA,2004,Unknown year,Involuntary,Northeast
Homewood City,AL,STILL OPEN,1965,Involuntary,Southeast
Hoover City,AL,STILL OPEN,1966,Involuntary,Southeast
Houston County,AL,2008,Unknown year,Involuntary,Southeast
Houston Isd,TX,1983,Unknown year,Involuntary,Southwest
Humboldt,TN,2008,Unknown year,Involuntary,Southeast
Humphreys Co School Dist,MS,2003,Unknown year,Involuntary,Southeast
Huntsville City,AL,STILL OPEN,1966,Involuntary,Southeast
Iberia Parish,LA,1970,Unknown year,Involuntary,Southeast
Iberville Parish,LA,2002,Unknown year,Involuntary,Southeast
Independence 30,MO,2003,Unknown year,Involuntary,Midwest
Indian River,FL,STILL OPEN,Unknown year,Involuntary,Southeast
Indian River School District,DE,STILL OPEN,1957,Involuntary,Southeast
Indianapolis Public Schools,IN,STILL OPEN,1972,Involuntary,Midwest
Indianola School Dist,MS,2008,Unknown year,Involuntary,Southeast
Iredell-Statesville Schools,NC,1972,Unknown year,Involuntary,Southeast
Irwin County,GA,STILL OPEN,1969,Involuntary,Southeast
Jackson,FL,STILL OPEN,Unknown year,Involuntary,Southeast
Jackson Co School Dist,MS,1981,Unknown year,Involuntary,Southeast
Jackson County,AL,STILL OPEN,1963,Involuntary,Southeast
Jackson County,GA,1985,Unknown year,Involuntary,Southeast
Jackson Parish,LA,STILL OPEN,1966,Involuntary,Southeast
Jackson Public School Dist,MS,1980,Unknown year,Involuntary,Southeast
Jacksonville City,AL,STILL OPEN,1963,Involuntary,Southeast
Jasper City,AL,1977,Unknown year,Involuntary,Southeast
Jasper County,GA,2006,Unknown year,Involuntary,Southeast
Jeff Davis County,GA,STILL OPEN,1969,Involuntary,Southeast
Jefferson,FL,STILL OPEN,Unknown year,Involuntary,Southeast
Jefferson City,GA,1985,Unknown year,Involuntary,Southeast
Jefferson County,AL,STILL OPEN,1965,Involuntary,Southeast
Jefferson County,GA,2008,Unknown year,Involuntary,Southeast
Jefferson County,KY,2000,Unknown year,Involuntary,
Jefferson Davis Parish,LA,2011,Unknown year,Involuntary,Southeast
Jefferson Isd,TX,2001,Unknown year,Involuntary,Southwest
Jefferson Parish,LA,2006,Unknown year,Involuntary,Southeast
Jenkins County,GA,2008,Unknown year,Involuntary,Southeast
Johnson County,GA,2008,Unknown year,Involuntary,Southeast
Johnston County Schools,NC,1995,Unknown year,Involuntary,Southeast
Jones Co School Dist,MS,STILL OPEN,1970,Involuntary,Southeast
Jones County,GA,2007,Unknown year,Involuntary,Southeast
Jones County Schools,NC,1997,Unknown year,Involuntary,Southeast
Junction City School District,AR,STILL OPEN,1966,Involuntary,Southeast
Kalamazoo Public Schools,MI,STILL OPEN,1971,Involuntary,Midwest
Kansas City,KS,1997,Unknown year,Involuntary,Midwest
Kansas City 33,MO,2003,Unknown year,Involuntary,Midwest
Katy Isd,TX,2007,Unknown year,Involuntary,Southwest
Kemper Co School Dist,MS,STILL OPEN,1969,Involuntary,Southeast
Kilgore Isd,TX,2000,Unknown year,Involuntary,Southwest
