District Name,City,State,Year Lifted,Year Placed
Iredell-Statesville Schools,Statesville,NC,1972,N/A
Irwin County,Ocilla,GA,STILL OPEN,1969
Jackson,Marianna,FL,STILL OPEN,N/A
Jackson Co School Dist,Vancleave,MS,1981,N/A
Jackson County,Scottsboro,AL,STILL OPEN,1963
Jackson County,Jefferson,GA,1985,N/A
Jackson Parish,Jonesboro,LA,STILL OPEN,1966
Jackson Public School Dist,Jackson,MS,1980,N/A
Jacksonville City,Jacksonville,AL,STILL OPEN,1963
Jasper City,Jasper,AL,1977,N/A
Jasper County,Monticello,GA,2006,N/A
Jeff Davis County,Hazlehurst,GA,STILL OPEN,1969
Jefferson,Monticello,FL,STILL OPEN,N/A
Jefferson City,Jefferson,GA,1985,N/A
Jefferson County,Birmingham,AL,STILL OPEN,1965
Jefferson County,Louisville,GA,2008,N/A
Jefferson County,Louisville,KY,2000,N/A
Jefferson Davis Parish,Jennings,LA,2011,N/A
Jefferson Isd,Jefferson,TX,2001,N/A
Jefferson Parish,Harvey,LA,2006,N/A
Jenkins County,Millen,GA,2008,N/A
Johnson County,Wrightsville,GA,2008,N/A
Johnston County Schools,Smithfield,NC,1995,N/A
Jones Co School Dist,Ellisville,MS,STILL OPEN,1970
Jones County,Gray,GA,2007,N/A
Jones County Schools,Trenton,NC,1997,N/A
Junction City School District,Junction City,AR,STILL OPEN,1966
Kalamazoo Public Schools,Kalamazoo,MI,STILL OPEN,1971
Kansas City,Kansas City,KS,1997,N/A
Kansas City 33,Kansas City,MO,2003,N/A
Katy Isd,Katy,TX,2007,N/A
Kemper Co School Dist,Dekalb,MS,STILL OPEN,1969
Kilgore Isd,Kilgore,TX,2000,N/A
Kirkwood R-Vii,Kirkwood,MO,1999,N/A
Klein Isd,Klein,TX,2008,N/A
Knox County,Knoxville,TN,1967,N/A
Kosciusko School District,Kosciusko,MS,STILL OPEN,1970
La Vega Isd,Waco,TX,2007,N/A
Ladue,St Louis,MO,1999,N/A
Lafayette,Mayo,FL,2009,N/A
Lafayette Co School Dist,Oxford,MS,1989,N/A
Lafayette Co. C-1,Higginsville,MO,1989,N/A
Lafayette Parish,Lafayette,LA,2006,N/A
Lafourche Parish,Thibodaux,LA,STILL OPEN,1967
Lake Forest School District,Felton,DE,STILL OPEN,1957
Lake Ridge Schools,Gary,IN,STILL OPEN,1963
Lamar County,Vernon,AL,STILL OPEN,1963
Lamar County,Barnesville,GA,2007,N/A
Lanett City,Lanett,AL,STILL OPEN,1963
Lansing Public School District,Lansing,MI,STILL OPEN,1973
Lasalle Parish,Jena,LA,STILL OPEN,1966
Lauderdale Co School Dist,Meridian,MS,STILL OPEN,1969
Lauderdale County,Florence,AL,STILL OPEN,1963
Laurel School District,Laurel,MS,STILL OPEN,1970
Laurens County,Dublin,GA,2008,N/A
Lawrence Co School Dist,Monticello,MS,STILL OPEN,1969
Lawrence County,Moulton,AL,STILL OPEN,1977
Leake Co School Dist,Carthage,MS,STILL OPEN,1969
Lebanon,Lebanon,TN,STILL OPEN,1970
Lee,Fort Myers,FL,1999,N/A
Lee 01,Bishopville,SC,2001,N/A
Lee County,Leesburg,GA,2009,N/A
Lee County,Opelika,AL,2005,N/A
Leeds City,Leeds,AL,STILL OPEN,1963
Leflore Co School Dist,Greenwood,MS,2005,N/A
Lenoir County Public Schools,Kinston,NC,STILL OPEN,N/A
Leon,Tallahassee,FL,1974,N/A
Lexington 01,Lexington,SC,2005,N/A
Lexington 04,Swansea,SC,STILL OPEN,1966
Liberty 53,Liberty,MO,2003,N/A
Lima City,Lima,OH,1999,N/A
Limestone County,Athens,AL,STILL OPEN,1963
Lincoln Co School Dist,Brookhaven,MS,STILL OPEN,1969
Lincoln County,Lincolnton,GA,STILL OPEN,1968
Lincoln Parish,Ruston,LA,STILL OPEN,1966
Lindbergh Schools,St Louis,MO,1999,N/A
Linden City,Linden,AL,1977,N/A
Little Rock School District,Little Rock,AR,2007,N/A
Livingston Parish,Livingston,LA,2001,N/A
Long County,Ludowici,GA,2003,N/A
Longview Isd,Longview,TX,STILL OPEN,1965
Lorain City,Lorain,OH,1994,N/A
Los Angeles Unified,Los Angeles,CA,STILL OPEN,1976
Loudoun Co Pblc Schs,Ashburn,VA,2006,N/A
Louisville Municipal School Dist,Louisville,MS,STILL OPEN,1966
Lovelady Isd,Lovelady,TX,STILL OPEN,1977
Lowndes Co School Dist,Columbus,MS,2012,N/A
Lowndes County,Valdosta,GA,2006,N/A
Lowndes County,Hayneville,AL,1991,N/A
Lubbock Isd,Lubbock,TX,1991,N/A
Lufkin Isd,Lufkin,TX,2000,N/A
Lynchburg City Pblc Schs,Lynchburg,VA,STILL OPEN,1962
M S D Decatur Township,Indianapolis,IN,1998,N/A
M S D Lawrence Township,Indianapolis,IN,1998,N/A
M S D Perry Township,Indianapolis,IN,1998,N/A
M S D Pike Township,Indianapolis,IN,1998,N/A
M S D Warren County,Williamsport,IN,1998,N/A
M S D Warren Township,Indianapolis,IN,1998,N/A
M S D Washington Township,Indianapolis,IN,1998,N/A
M S D Wayne Township,Indianapolis,IN,1998,N/A
Macon County,Oglethorpe,GA,2009,N/A
Macon County,Tuskegee,AL,2006,N/A
Madison Co School Dist,Flora,MS,2006,N/A
Madison County,Huntsville,AL,STILL OPEN,1964
Madison County,Jackson,TN,2010,N/A
Madison Cusd 12,Madison,IL,STILL OPEN,1969
Madison Parish,Tallulah,LA,2010,N/A
Madisonville Cisd,Madisonville,TX,STILL OPEN,N/A
Malakoff Isd,Malakoff,TX,STILL OPEN,1970
Manatee,Bradenton,FL,STILL OPEN,1969
Manhasset Union Free School District,Manhasset,NY,STILL OPEN,1964
Maplewood-Richmond Heights,Maplewood,MO,1999,N/A
Marengo County,Linden,AL,1983,N/A
Marion,Ocala,FL,2007,N/A
Marion Co School Dist,Columbia,MS,STILL OPEN,1969
Marion County,Hamilton,AL,STILL OPEN,1963
Marion County,Buena Vista,GA,2008,N/A
Marshall Co School Dist,Holly Springs,MS,2005,N/A
Marshall County,Guntersville,AL,STILL OPEN,1963
Maury County,Columbia,TN,1969,N/A
Mccomb School District,Mccomb,MS,2012,N/A
Mccormick 01,Mccormick,SC,2003,N/A
Mcduffie County,Thomson,GA,STILL OPEN,1969
Mcintosh County,Darien,GA,2006,N/A
Mehlville R-Ix,St Louis,MO,1999,N/A
Memphis,Memphis,TN,1992,N/A
Meridian Public School Dist,Meridian,MS,STILL OPEN,1969
Meriwether County,Greenville,GA,2008,N/A
Midfield City,Midfield,AL,2006,N/A
Midland Isd,Midland,TX,2002,N/A
Milan,Milan,TN,STILL OPEN,1970
Milford School District,Milford,DE,STILL OPEN,1957
Miller County,Colquitt,GA,2009,N/A
Milwaukee School District,Milwaukee,WI,STILL OPEN,1976
Mineral Springs School Dist.,Mineral Springs,AR,1971,N/A
Minneapolis Public School Dist.,Minneapolis,MN,STILL OPEN,1972
Mitchell County,Camilla,GA,STILL OPEN,1969
Mobile County,Mobile,AL,1997,N/A
Monroe County,Forsyth,GA,STILL OPEN,1969
Monroe County,Monroeville,AL,1982,N/A
Montclair,Montclair,NJ,STILL OPEN,N/A
Montgomery Co School Dist,Winona,MS,STILL OPEN,1967
Montgomery County,Mount Vernon,GA,STILL OPEN,1969
Montgomery County,Montgomery,AL,1993,N/A
Montgomery County Schools,Troy,NC,STILL OPEN,1956
Mooresville Con School Corp,Mooresville,IN,1998,N/A
Morehouse Parish,Bastrop,LA,2013,N/A
Morgan County,Decatur,AL,STILL OPEN,1963
Morgan County,Madison,GA,2006,N/A
Mountain Brook City,Mountain Brook,AL,2005,N/A
Mt Vernon Community Sch Corp,Fortville,IN,1998,N/A
Muscle Shoals City,Muscle Shoals,AL,2007,N/A
Muscogee County,Columbus,GA,1997,N/A
N. Little Rock School District,North Little Rock,AR,STILL OPEN,1969
Nash-Rocky Mount Schools,Nashville,NC,1998,N/A
Natchez-Adams School Dist,Natchez,MS,2003,N/A
Natchitoches Parish,Natchitoches,LA,STILL OPEN,1970
Neptune Township,Neptune,NJ,STILL OPEN,1967
Neshoba County School District,Philadelphia,MS,STILL OPEN,1969
Nettleton School Dist,Nettleton,MS,STILL OPEN,1969
New Braunfels Isd,New Braunfels,TX,1979,N/A
New Hanover County Schools,Wilmington,NC,1983,N/A
New Haven School District,New Haven,CT,STILL OPEN,1965
New Rochelle City School District,New Rochelle,NY,STILL OPEN,1961
New York City Geographic District #18,Brooklyn,NY,2008,N/A
New York City Public Schools,New York,NY,STILL OPEN,1973
Newberry 01,Newberry,SC,STILL OPEN,N/A
Newport News City Pblc Schs,Newport News,VA,STILL OPEN,1957
Newton County,Covington,GA,STILL OPEN,1969
Newton County School District,Decatur,MS,2003,N/A
Norfolk City Pblc Schs,Norfolk,VA,1985,N/A
North Bolivar School District,Shelby,MS,STILL OPEN,1983
North Pike School Dist,Summit,MS,STILL OPEN,1969
North Tippah School Dist,Tiplersville,MS,STILL OPEN,1968
Northampton County Schools,Jackson,NC,1976,N/A
Norwalk School District,Norwalk,CT,STILL OPEN,1968
Noxubee County School District,Macon,MS,2004,N/A
Oakwood Isd,Oakwood,TX,STILL OPEN,1970
Obion County,Union City,TN,STILL OPEN,1962
Oklahoma City,Oklahoma City,OK,1991,N/A
Oktibbeha County School District,Starkville,MS,STILL OPEN,1969
Omaha Public Schools,Omaha,NE,1984,N/A
Oneonta City,Oneonta,AL,2005,N/A
Opelika City,Opelika,AL,2002,N/A
Opp City,Opp,AL,2002,N/A
Orange,Orlando,FL,2010,N/A
Orangeburg 03,Holly Hill,SC,2006,N/A
Orangeburg 05,Orangeburg,SC,1990,N/A
Orleans Parish,New Orleans,LA,Unknown year,N/A
Ouachita Parish,Monroe,LA,2013,N/A
Oxford City,Oxford,AL,STILL OPEN,1966
Oxford School District,Oxford,MS,1988,N/A
Oxnard,Oxnard,CA,1987,N/A
